Unique ID,feature_name,Honorees,City,County,State,Side,Latitude,Longitude,Symbol Type,Symbol Type Other,Sponsors,Year Dedicated,Year Removed,Tracking Status,Private Property,Symbol Location,Removal Date
184,Robert E. Lee Drive,Robert E. Lee,East Palatka,Putnam,FL,South,29.703188,-81.561292,Roadway,,Unknown,,,Live,0,,
1941,City of Milton Seal,No specific honoree,Milton,Santa Rosa,FL,South,30.633336,-87.04127,Other,Seal,City of Milton,2016,,Live,0,,
177,Lee County,Robert E. Lee,Fort Myers,Lee,FL,South,26.636122,-81.84703,County/Municipality,,Unknown,1887,,Live,0,,
5011,Robert E. Lee portrait,Robert E. Lee,Fort Myers,Lee,FL,South,26.642434,-81.8703,Other,Other,Lee County Commissioners,1929,,Live,0,Courthouse grounds,
193,Stonewall Jackson Road,"Thomas Jonathan ""Stonewall"" Jackson",Orlando,Orange,FL,South,28.531718,-81.303431,Roadway,,Unknown,,,Live,0,,
219,Confederate Monument,No specific honoree,Palatka,Putnam,FL,South,29.6471,-81.632767,Monument,,Putnam County Government,1956,,Live,0,Courthouse grounds,
196,Robert E. Lee Day,Robert E. Lee,Tallahassee,Leon,FL,South,30.438494,-84.282036,Other,Holiday,State of Florida,,,Live,0,,
1988,Confederate Monument,No specific honoree,Tallahassee,Leon,FL,South,30.438059,-84.281274,Monument,,Unknown,1882,,Live,0,Government Office Grounds,
3172,Jefferson Davis Day,Jefferson Davis,Tallahassee,Leon,FL,South,30.437874,-84.282143,Other,Holiday,State of Florida,1905,,Live,0,,
2216,Stonewall Jackson Monument,"Thomas Jonathan ""Stonewall"" Jackson",Ft. Meade,Polk,FL,South,27.755267,-81.795417,Monument,,Sons of Confederate Veterans,1983,,Live,0,,
5008,City of Graceville,H. B. Grace,Graceville,Holmes,FL,South,30.956918,-85.513461,County/Municipality,,Unknown,,,Live,0,,
171,City of Fort Bragg,Braxton Bragg,Fort Bragg,Mendocino,CA,North,39.445678,-123.804564,County/Municipality,,Unknown,1889,,Live,0,,
189,General Lee Road,Robert E. Lee,Hilliard,Nassau,FL,South,30.727154,-81.983461,Roadway,,Unknown,,,Live,0,,
2045,Jefferson Davis Highway Marker,Jefferson Davis,Hornbrook,Siskiyou,CA,North,41.901467,-122.5634,Monument,,United Daughters of the Confederacy,1944,,Live,0,,
2124,Stonewall Camp No. 1438 Monument,"Thomas Jonathan ""Stonewall"" Jackson",Gainesville,Alachua,FL,South,29.651767,-82.32475,Monument,,Unknown,,,Live,0,Courthouse grounds,
2191,Jefferson Davis Father of National Highways Monument,Jefferson Davis,Bakersfield,Kern,CA,North,35.393505,-119.019103,Monument,,United Daughters of the Confederacy,1942,,Live,0,,
174,Jefferson Davis Senate Desk reserved for Senior Senator of Mississippi,Jefferson Davis,Washington,Washington,DC,North,38.890586,-77.009104,Other,Other,Mississippi Senator Thad Cochran,,,Live,0,,
201,Monument to Women of the Confederacy,No specific honoree,Jacksonville,Duval,FL,South,30.334817,-81.654483,Monument,,United Confederate Veterans,1915,,Live,0,,
5021,Jefferson Davis Statue,Jefferson Davis,Washington,Washington,DC,North,38.890943,-77.008687,Monument,,state of Mississippi,1931,,Live,0,,
5022,James Z. George Statue,James Zachariah George,Washington,Washington,DC,North,38.890877,-77.009127,Monument,,state of Mississippi,1931,,Live,0,,
5023,Wade Hampton Statue,Wade Hampton,Washington,Washington,DC,North,38.890618,-77.009492,Monument,,State of South Carolina,1929,,Live,0,,
203,Yellow Bluff Fort Monument,No specific honoree,Jacksonville,Duval,FL,South,30.399683,-81.55565,Monument,,United Daughters of the Confederacy,1950,,Live,0,,
5027,Zebulon Baird Vance Statue,Zebulon Baird Vance,Washington,Washington,DC,North,38.889156,-77.009578,Monument,,State of North Carolina,1916,,Live,0,,
178,Hendry County,Francis A. Hendry,LaBelle,Hendry,FL,South,26.593428,-81.133832,County/Municipality,,Unknown,1923,,Live,0,,
179,Baker County,James McNair Baker,Macclenny,Baker,FL,South,30.354133,-82.273578,County/Municipality,,Unknown,1861,,Live,0,,
214,Confederate Soldier,No specific honoree,Brooksville,Hernando,FL,South,28.555017,-82.387767,Monument,,United Daughters of the Confederacy,1916,,Live,0,Courthouse grounds,
185,Robert E. Lee Lane,Robert E. Lee,Macclenny,Baker,FL,South,30.25036,-82.151864,Roadway,,Unknown,,,Live,0,,
198,Confederate Park Monument,No specific honoree,Crestview,Okaloosa,FL,South,30.82285,-86.537117,Monument,,Crestview Lions Club,1958,,Live,0,,
5017,Delaware Confederate monument,No specific honoree,Georgetown,Sussex,DE,Border,38.671993,-75.378714,Monument,,Sons of Confederate Veterans,2007,,Live,0,,
2209,Olustee Battle Monument,No specific honoree,Lake City,Columbia,FL,South,30.19015,-82.6369,Monument,,Unknown,,,Live,0,,
216,Confederate Monument,No specific honoree,Marianna,Jackson,FL,South,30.773817,-85.226067,Monument,,Unknown,1881,,Live,0,Courthouse grounds,
215,Walton County Confederate Monument,No specific honoree,Defuniak Springs,Walton,FL,South,30.7214,-86.1115,Monument,,Ladies Memorial Association of Walton County,1871,,Live,0,Courthouse grounds,
206,Confederate War Memorial,No specific honoree,Marianna,Jackson,FL,South,30.77415,-85.22875,Monument,,United Daughters of the Confederacy,1921,,Live,0,,
181,Walton County Flag,No specific honoree,Defuniak Springs,Walton,FL,South,30.72145,-86.11145,Other,Flag,Ladies Memorial Association of Walton County,1871,,Live,0,Courthouse grounds,
205,Confederate Monument,No specific honoree,Madison,Madison,FL,South,30.469833,-83.412483,Monument,,United Daughters of the Confederacy,,,Live,0,,
176,Pasco County,Samuel Pasco,Dade City,Pasco,FL,South,28.321701,-82.421127,County/Municipality,,Unknown,1887,,Live,0,,
227,Judah P. Benjamin Confederate Memorial at Gamble Plantation Historic State Park,Judah P. Benjamin,Manatee,Manatee,FL,South,27.524262,-82.525993,Other,Park,United Daughters of the Confederacy; Florida Board of Parks and Historic Memorials,1925,,Live,0,,
225,Confederate Park,No specific honoree,Jacksonville,Duval,FL,South,30.334601,-81.653839,Other,Park,City of Jacksonville,1915,,Live,0,,
1978,General Lee Tree at Sequoia National Park,Robert E. Lee,Sequoia National Park,Tulare,CA,North,36.74729,-118.97256,Other,Other,United Daughters of the Confederacy,1937,,Live,0,,
192,Confederate Point Road,No specific honoree,Jacksonville,Duval,FL,South,30.263995,-81.733115,Roadway,,Unknown,,,Live,0,,
188,General Lee Road,Robert E. Lee,Jacksonville,Duval,FL,South,30.357625,-81.754951,Roadway,,Unknown,,,Live,0,,
175,Fighting Joe Wheeler Statue,Joseph Wheeler,Washington,Washington,DC,North,38.889758,-77.009093,Monument,,State of Alabama,1925,,Live,0,Government Office Grounds,
226,Hemming Park,Charles C. Hemming,Jacksonville,Duval,FL,South,30.329167,-81.659167,Other,Park,Unknown,1899,,Live,0,,
5026,Alexander Stephens Statue,Alexander Stephens,Washington,Washington,DC,North,38.889515,-77.00932,Monument,,State of Georgia,1927,,Live,0,,
191,Confederate Street,No specific honoree,Jacksonville,Duval,FL,South,30.333637,-81.651833,Roadway,,Unknown,,,Live,0,,
798,General Robert Hoke Monument,Robert Hoke,Kinston,Lenoir,NC,South,35.22411,-77.5297,Monument,,United Daughters of the Confederacy; Sons of Confederate Veterans; North Carolina Historical Commission,1920,,Live,0,,
691,Confederate Monument,No specific honoree,Yazoo City,Yazoo,MS,South,32.850567,-90.411667,Monument,,United Daughters of the Confederacy; United Confederate Veterans; Sons of Confederate Veterans,1909,,Live,0,,
1063,Confederate Monument,No specific honoree,Covington,Tipton,TN,South,35.563853,-89.646339,Monument,,Tipton County TN; Sons of Confederate Veterans; Citizens of Covington,1895,,Live,0,Courthouse grounds,
1431,Confederate Monument,No specific honoree,Front Royal,Warren,VA,South,38.917767,-78.193383,Monument,,United Daughters of the Confederacy; United Confederate Veterans; Sons of Confederate Veterans,1911,,Live,0,Courthouse grounds,
3003,David O. Dodd Monument I,David Owen Dodd,Little Rock,Pulaski,AR,South,34.748973,-92.272214,Monument,,United Daughters of the Confederacy; United Confederate Veterans; Sons of Confederate Veterans,1923,,Live,0,,
3164,Lee Davis Road,Robert E. Lee,Mechanicsville,Hanover,VA,South,37.617393,-77.339807,Roadway,,Unknown,,,Live,0,,
3164,Lee Davis Road,Jefferson Davis,Mechanicsville,Hanover,VA,South,37.617393,-77.339807,Roadway,,Unknown,,,Live,0,,
134,Confederate Soldiers Memorial,No specific honoree,Little Rock,Pulaski,AR,South,34.7474,-92.2881,Monument,,United Daughters of the Confederacy; United Confederate Veterans; State of Arkansas,1905,,Live,0,,
2202,Little Rock Defenders Monument,No specific honoree,Little Rock,Pulaski,AR,South,34.749025,-92.27205,Monument,,United Daughters of the Confederacy,1932,,Live,0,,
1290,Davis Road,Jefferson Davis,Waynesboro,Waynesboro City,VA,South,38.071752,-78.926204,Roadway,,Unknown,,,Live,0,,
1291,Pickett Road,George Pickett,Waynesboro,Waynesboro City,VA,South,38.070804,-78.918872,Roadway,,Unknown,,,Live,0,,
135,General Thomas J. Churchill Memorial,Thomas J. Churchill,Little Rock,Pulaski,AR,South,34.748817,-92.272233,Monument,,Sons of Confederate Veterans,1928,,Live,0,,
1458,Confederate Monument,No specific honoree,Warm Springs,Bath,VA,South,38.046011,-79.789723,Monument,,United Daughters of the Confederacy,1922,,Live,0,Courthouse grounds,
136,General William Read Scurry Memorial,William Read Scurry,Little Rock,Pulaski,AR,South,34.748833,-92.272033,Monument,,Sons of Confederate Veterans,1928,,Live,0,,
1459,Confederate Monument,No specific honoree,Washington,Rappahannock,VA,South,38.711078,-78.159784,Monument,,United Daughters of the Confederacy,1900,,Live,0,Courthouse grounds,
1411,Confederate Soldiers Monument,No specific honoree,Winchester,Frederick,VA,South,39.184494,-78.165317,Monument,,Unknown,1916,,Live,0,,
394,Confederate Monument,No specific honoree,Spotsylvania,Spotsylvania,VA,South,38.202639,-77.583138,Monument,,United Daughters of the Confederacy; Confederated Southern Memorial Association; citizens of Spotsylvania County,1918,,Live,0,Courthouse grounds,
1295,Jubal Early Drive,Jubal Anderson Early,Winchester,Frederick,VA,South,39.169653,-78.180729,Roadway,,Unknown,,,Live,0,,
155,Confederate War Prisoners Memorial,No specific honoree,Little Rock,Pulaski,AR,South,34.7458,-92.289783,Monument,,United Daughters of the Confederacy,,,Live,0,Government Office Grounds,
1289,Robert E. Lee Avenue,Robert E. Lee,Waynesboro,Waynesboro City,VA,South,38.070697,-78.921557,Roadway,,Unknown,,,Live,0,,
2001,William Barksdale Road,William Barksdale,Williamsburg,Williamsburg City,VA,South,37.227852,-76.688222,Roadway,,Unknown,,,Live,0,,
1288,Jeff Davis Drive,Jefferson Davis,Woodford,Caroline,VA,South,38.107909,-77.361321,Roadway,,Unknown,,,Live,0,,
1181,Confederate Powder Mill Marker,No specific honoree,Tomball,Harris,TX,South,30.110558,-95.653391,Monument,,Spring Creek County Historical Association; Harris County Historical Survey Committee; descendents,1966,,Live,0,,
1317,Stonewall Jackson Road,"Thomas Jonathan ""Stonewall"" Jackson",Woodford,Caroline,VA,South,38.143819,-77.439503,Roadway,,Unknown,,,Live,0,,
414,Site of the Confederate Invasion of Iowa,No specific honoree,Wyacondah,Davis,IA,North,40.67755,-92.42726,Monument,,,2005,,Live,0,,
1463,City of Wise,Henry A. Wise,Wise,Wise,VA,South,36.976361,-82.575359,County/Municipality,,Unknown,1924,,Live,0,,
3170,Pickett Road,George Pickett,Bellingham,Whatcom,WA,Not Applicable,48.795312,-122.510637,Roadway,,Unknown,,,Live,0,,
3044,Evans Road,Clement A. Evans,Charleston,Charleston,SC,South,32.739995,-79.908121,Roadway,,Unknown,,,Live,0,,
3044,Evans Road,Nathan George Evans,Charleston,Charleston,SC,South,32.739995,-79.908121,Roadway,,Unknown,,,Live,0,,
3086,Evans Street,Clement A. Evans,Columbia,Richland,SC,South,34.009504,-80.94389,Roadway,,Unknown,,,Live,0,,
3086,Evans Street,Nathan George Evans,Columbia,Richland,SC,South,34.009504,-80.94389,Roadway,,Unknown,,,Live,0,,
445,Confederate Monument,No specific honoree,Glasgow,Barren,KY,Border,36.995551,-85.912195,Monument,,Women's Monumental Association; former Confederate soldier John A. Murray,1905,,Live,0,Courthouse grounds,
354,Stone Mountain Confederate Memorial Carving,Robert E. Lee,Stone Mountain,DeKalb,GA,South,33.806373,-84.145379,Monument,,United Daughters of the Confederacy; Stone Mountain Memorial Association,1972,,Live,0,,
354,Stone Mountain Confederate Memorial Carving,"Thomas Jonathan ""Stonewall"" Jackson",Stone Mountain,DeKalb,GA,South,33.806373,-84.145379,Monument,,United Daughters of the Confederacy; Stone Mountain Memorial Association,1972,,Live,0,,
354,Stone Mountain Confederate Memorial Carving,Jefferson Davis,Stone Mountain,DeKalb,GA,South,33.806373,-84.145379,Monument,,United Daughters of the Confederacy; Stone Mountain Memorial Association,1972,,Live,0,,
108,Lee County,Robert E. Lee,Marianna,Lee,AR,South,34.774406,-90.766543,County/Municipality,,Unknown,1873,,Live,0,,
149,Crittenden County Civil War Memorial,No specific honoree,Marion,Crittenden,AR,South,35.215675,-90.197066,Monument,,United Daughters of the Confederacy,1936,,Live,0,Courthouse grounds,
1270,Robert E. Lee Commemorative License Plate,Robert E. Lee,Richmond,Richmond City,VA,South,37.539014,-77.433834,Other,Commemorative License Plate,Sons of Confederate Veterans,2008,,Live,0,,
110,Robert E. Lee Street,Robert E. Lee,Malvern,Hot Spring,AR,South,34.359576,-92.793803,Roadway,,Unknown,,,Live,0,,
138,General Robert E. Lee Monument,Robert E. Lee,Marianna,Lee,AR,South,34.773911,-90.756979,Monument,,United Daughters of the Confederacy,1910,,Live,0,,
123,Texas Memorial,No specific honoree,Pea Ridge,Benton,AR,South,36.454017,-94.114983,Monument,,State of Texas,1964,,Live,0,,
163,Forrest Park Prep Preschool,Nathan Bedford Forrest,Pine Bluff,Jefferson,AR,South,34.195571,-92.021248,School,,Unknown,,,Live,0,,
139,Confederate Captain Richard Tunball Banks Monument,Richard Tunball,New Edinburg,Cleveland,AR,South,33.757357,-92.23819,Monument,,Unknown,,,Live,0,,
1268,Robert E. Lee Memorial Bridge,Robert E. Lee,Richmond,Richmond City,VA,South,37.530278,-77.450573,Other,Bridge,Unknown,1934,,Live,0,,
152,Confederate Monument,No specific honoree,Osceola,Mississippi,AR,South,35.703094,-89.969926,Monument,,United Daughters of the Confederacy,1934,,Live,0,Courthouse grounds,
160,Confederate Mothers Memorial Park,No specific honoree,Russellville,Pope,AR,South,35.258333,-93.140556,Other,Park,United Daughters of the Confederacy,1921,,Live,0,,
1966,Lee Highway Marker,Robert E. Lee,Roanoke,Roanoke City,VA,South,37.26445,-80.011383,Monument,,United Daughters of the Confederacy,1928,,Live,0,,
153,Searcy Confederate Monument,No specific honoree,Searcy,White,AR,South,35.250237,-91.737882,Monument,,Unknown,1917,,Live,0,Courthouse grounds,
1404,Stonewall Jackson Monument I,"Thomas Jonathan ""Stonewall"" Jackson",Richmond,Richmond City,VA,South,37.539233,-77.433183,Monument,,Unknown,1875,,Live,0,Government Office Grounds,
141,Confederate War Memorial,No specific honoree,Prescott,Nevada,AR,South,33.80261,-93.381,Monument,,Unknown,1969,,Live,0,,
1935,Mosby Street,John Singleton Mosby,Manassas,Manassas City,VA,South,38.753218,-77.478572,Roadway,,Unknown,,,Live,0,,
1273,Confederate Avenue,No specific honoree,Petersburg,Petersburg City,VA,South,37.203674,-77.440693,Roadway,,Unknown,,,Live,0,,
1400,North Carolina Monument,No specific honoree,Reams,Dinwiddie,VA,South,37.09408,-77.42268,Monument,,Sons of Confederate Veterans,,,Live,0,,
1451,Confederate Medal of Honor Monument,No specific honoree,Pearisburg,Giles,VA,South,37.326965,-80.734975,Monument,,Sons of Confederate Veterans,2015,,Live,0,Courthouse grounds,
1932,Confederate Veterans Monument,No specific honoree,Madison,Madison,VA,South,38.379997,-78.257571,Monument,,United Confederate Veterans,1901,,Live,0,Courthouse grounds,
2252,Giles County Confederate Monument,No specific honoree,Pearisburg,Giles,VA,South,37.326837,-80.73516,Monument,,Unknown,1905,,Live,0,Courthouse grounds,
1315,Lee Avenue,Robert E. Lee,Manassas,Manassas City,VA,South,38.751971,-77.476568,Roadway,,Unknown,,,Live,0,,
1934,Stonewall Road,"Thomas Jonathan ""Stonewall"" Jackson",Manassas,Manassas City,VA,South,38.763032,-77.482102,Roadway,,Unknown,,,Live,0,,
1444,Confederate Monument,No specific honoree,Marion,Smyth,VA,South,36.832989,-81.519887,Monument,,Unknown,1904,,Live,0,Courthouse grounds,
1395,To The Memory of A.P. Hill,A.P. Hill,Petersburg,Petersburg City,VA,South,37.189425,-77.475337,Monument,,Sons of Confederate Veterans,,,Live,0,,
1294,Jeb Stuart Drive,"James Ewell Brown ""Jeb"" Stuart",Rhoadesville,Orange,VA,South,38.27447,-77.868655,Roadway,,Unknown,,,Live,0,,
1465,Stonewall Jackson Volunteer Fire & Rescue Department,"Thomas Jonathan ""Stonewall"" Jackson",Manassas,Manassas City,VA,South,38.786635,-77.50811,Other,Other,Unknown,1969,,Live,0,,
1961,A.P. Hill Monument,A.P. Hill,Richmond,Richmond City,VA,South,37.584151,-77.462533,Monument,,Unknown,1892,,Live,0,,
1397,Old Men and Boys Monument,No specific honoree,Petersburg,Petersburg City,VA,South,37.20428,-77.382164,Monument,,United Daughters of the Confederacy,1909,,Live,0,,
1278,Jefferson Davis Drive,Jefferson Davis,Martinsville,Henry,VA,South,36.669319,-79.799754,Roadway,,Unknown,,,Live,0,,
4001,Robert E Lee Day,Robert E. Lee,Little Rock,Pulaski,AR,South,34.746514,-92.288901,Other,Holiday,State of Arkansas,2017,,Live,0,,
1445,Our Confederate Soldier,No specific honoree,Mathews,Mathews,VA,South,37.4337,-76.3217,Monument,,United Daughters of the Confederacy,1912,,Live,0,Courthouse grounds,
2072,Jefferson Davis Highway Marker,Jefferson Davis,Richmond,Chesterfield,VA,South,37.438966,-77.438878,Monument,,United Daughters of the Confederacy,1933,,Live,0,,
3166,Jeb Stuart Court,"James Ewell Brown ""Jeb"" Stuart",Martinsville,Henry,VA,South,36.681609,-79.807713,Roadway,,Unknown,,,Live,0,,
157,Monument to Confederate Women,No specific honoree,Little Rock,Pulaski,AR,South,34.7447,-92.291146,Monument,,United Confederate Veterans,1913,,Live,0,Government Office Grounds,
5004,Ginter Park Historic District,Lewis Ginter,Richmond,Richmond City,VA,South,37.580556,-77.447222,Other,Other,Unknown,,,Live,0,,
1279,Jeb Stuart Road,"James Ewell Brown ""Jeb"" Stuart",Martinsville,Henry,VA,South,36.681667,-79.809556,Roadway,,Unknown,,,Live,0,,
117,Pickett Drive,George Pickett,Little Rock,Pulaski,AR,South,34.72398,-92.189878,Roadway,,Unknown,,,Live,0,,
1388,Wilcox's Alabama Brigade,Cadmus M. Wilcox,Mechanicsville,Hanover,VA,South,37.573,-77.296,Monument,,Sons of Confederate Veterans,1999,,Live,0,,
3165,Stonewall Middle Drive,"Thomas Jonathan ""Stonewall"" Jackson",Mechanicsville,Hanover,VA,South,37.619252,-77.341857,Roadway,,Unknown,,,Live,0,,
151,Lonoke Confederate Monument,No specific honoree,Lonoke,Lonoke,AR,South,34.786049,-91.899886,Monument,,United Daughters of the Confederacy,1910,,Live,0,Courthouse grounds,
1504,Stonewall Jackson Statue,"Thomas Jonathan ""Stonewall"" Jackson",Charleston,Kanawha,WV,Border,38.335458,-81.611278,Monument,,Unknown,1910,,Live,0,Government Office Grounds,
1850,Stonewall Jackson monument,"Thomas Jonathan ""Stonewall"" Jackson",Clarksburg,Harrison,WV,Border,39.279153,-80.339273,Monument,,United Daughters of the Confederacy,1953,,Live,0,Courthouse grounds,
1498,Stonewall Jackson Highway,"Thomas Jonathan ""Stonewall"" Jackson",Flatwoods,Braxton,WV,Border,38.718032,-80.656808,Roadway,,Unknown,,,Live,0,,
1455,Confederate Monument,No specific honoree,Sussex,Sussex,VA,South,36.915554,-77.279784,Monument,,United Daughters of the Confederacy,1912,,Live,0,Courthouse grounds,
1499,Hayward Shepherd Monument,No specific honoree,Harpers Ferry,Jefferson,WV,Border,39.323055,-77.730219,Monument,,United Daughters of the Confederacy; Sons of Confederate Veterans,1931,,Live,0,,
1456,Essex County Confederate Monument,No specific honoree,Tappahannock,Essex,VA,South,37.928333,-76.86005,Monument,,Unknown,1906,,Live,0,Courthouse grounds,
1492,General Lee Street,Robert E. Lee,Craigsville,Nicholas,WV,Border,38.33913,-80.674274,Roadway,,Unknown,,,Live,0,,
1489,Stuart Elementary School,"James Ewell Brown ""Jeb"" Stuart",Stuart,Patrick,VA,South,36.641597,-80.276065,School,,Unknown,1938,,Live,0,,
1491,Robert E. Lee Avenue,Robert E. Lee,Elkins,Randolph,WV,Border,38.928613,-79.862123,Roadway,,Unknown,,,Live,0,,
1501,Confederate Soldier Monument,No specific honoree,Parkersburg,Wood,WV,Border,39.270276,-81.531837,Monument,,United Daughters of the Confederacy,1908,,Live,0,,
1311,General Beauregard Drive,Pierre Gustave Toutant-Beauregard,Virginia Beach,Virginia Beach City,VA,South,36.862034,-76.053369,Roadway,,Unknown,,,Live,0,,
1502,Monroe County Confederate Soldier,No specific honoree,Union,Monroe,WV,Border,37.595597,-80.543992,Monument,,United Daughters of the Confederacy,1901,,Live,0,,
1313,General Hill Drive,A.P. Hill,Virginia Beach,Virginia Beach City,VA,South,36.863739,-76.06086,Roadway,,Unknown,,,Live,0,,
1503,Confederate Soldier Monument,No specific honoree,Hinton,Summers,WV,Border,37.671671,-80.891396,Monument,,Sons of Confederate Veterans,1914,,Live,0,,
1457,Confederate Monument,No specific honoree,Tazewell,Tazewell,VA,South,37.115748,-81.520608,Monument,,United Daughters of the Confederacy,1903,,Live,0,Courthouse grounds,
1506,Confederate Monument,No specific honoree,Lewisburg,Greenbrier,WV,Border,37.802722,-80.447949,Monument,,Unknown,1906,,Live,0,Government Office Grounds,
1272,Confederate Street,No specific honoree,Verona,Augusta,VA,South,38.213196,-79.000826,Roadway,,Unknown,,,Live,0,,
1507,Stonewall Jackson Lake State Park,"Thomas Jonathan ""Stonewall"" Jackson",Weston,Lewis,WV,Border,38.949731,-80.492482,Other,Park,Unknown,1990,,Live,0,,
1312,Hood Drive,John Bell Hood,Virginia Beach,Virginia Beach City,VA,South,36.864053,-76.054128,Roadway,,Unknown,,,Live,0,,
1500,Confederate Soldier Monument,No specific honoree,Valley Head,Randolph,WV,Border,38.491649,-80.054393,Monument,,United Confederate Veterans,1913,,Live,0,,
1310,General Jackson Drive,"Thomas Jonathan ""Stonewall"" Jackson",Virginia Beach,Virginia Beach City,VA,South,36.863899,-76.049305,Roadway,,Unknown,,,Live,0,,
406,Stonewall Jackson Lake and Dam,"Thomas Jonathan ""Stonewall"" Jackson",Weston,Lewis,WV,Border,38.941778,-80.490743,Other,Other,U.S. Senate; U.S. House,1966,,Live,0,,
1308,General Lee Drive,Robert E. Lee,Virginia Beach,Virginia Beach City,VA,South,36.862201,-76.048617,Roadway,,Unknown,,,Live,0,,
143,Star City Confederate Memorial,No specific honoree,Star City,Lincoln,AR,South,33.941922,-91.84584,Monument,,United Daughters of the Confederacy,1926,,Live,0,,
1991,Albert Pike Recreation Area,Albert Pike,Umpire,Howard,AR,South,33.941676,-91.845822,Other,Park,Unknown,,,Live,0,,
1496,Beauregard Boulevard,Pierre Gustave Toutant-Beauregard,Charles Town,Jefferson,WV,Border,39.302291,-77.830981,Roadway,,Unknown,,,Live,0,,
1453,Confederate Monument,No specific honoree,Rocky Mount,Franklin,VA,South,36.995447,-79.889099,Monument,,United Daughters of the Confederacy; R.H. Fishburne,1910,,Live,0,Courthouse grounds,
1965,Lee Plaza,Robert E. Lee,Roanoke,Roanoke City,VA,South,37.270507,-79.94522,Other,Park,Unknown,,,Live,0,,
1490,Lee Elementary School,Robert E. Lee,East Wenatchee,Douglas,WA,Not Applicable,47.427315,-120.291107,School,,Unknown,1955,,Live,0,,
